env,family,param,planner,K,seed,success,search_time,total_time,path_length,waypoints,nodes,iterations,error
clutter_n000.yaml,clutter,0.0,rrt,7,0,1,0.0723,0.0726,397.321,41,47,6,
clutter_n000.yaml,clutter,0.0,rrt,7,1,1,0.0824,0.0826,330.139,35,56,12,
clutter_n000.yaml,clutter,0.0,rrt,7,2,1,0.0739,0.0741,386.936,40,47,4,
clutter_n000.yaml,clutter,0.0,rrt,7,3,1,0.0684,0.0686,377.659,39,49,16,
clutter_n000.yaml,clutter,0.0,rrt,7,4,1,0.2061,0.2063,470.0,48,133,35,
clutter_n000.yaml,clutter,0.0,rrt,7,5,1,0.0394,0.0397,297.179,31,31,5,
clutter_n000.yaml,clutter,0.0,rrt,7,6,1,0.1125,0.1127,534.987,55,76,10,
clutter_n000.yaml,clutter,0.0,rrt,7,7,1,0.0663,0.0665,380.0,39,42,10,
clutter_n000.yaml,clutter,0.0,rrt,7,8,1,0.0715,0.0717,386.076,40,43,6,
clutter_n000.yaml,clutter,0.0,rrt,7,9,1,0.0404,0.0406,300.0,31,31,5,
clutter_n000.yaml,clutter,0.0,rrt,7,10,1,0.046,0.0462,310.0,32,32,8,
clutter_n000.yaml,clutter,0.0,rrt,7,11,1,0.067,0.0672,390.0,40,43,5,
clutter_n000.yaml,clutter,0.0,rrt,7,12,1,0.0642,0.0644,396.411,41,46,4,
clutter_n000.yaml,clutter,0.0,rrt,7,13,1,0.358,0.3583,562.913,58,207,32,
clutter_n000.yaml,clutter,0.0,rrt,7,14,1,0.1159,0.1161,366.487,39,73,8,
clutter_n000.yaml,clutter,0.0,rrt,7,15,1,0.0426,0.0428,315.552,33,33,8,
clutter_n000.yaml,clutter,0.0,rrt,7,16,1,0.0406,0.0408,298.582,31,31,4,
clutter_n000.yaml,clutter,0.0,rrt,7,17,1,0.267,0.2673,518.052,53,163,30,
clutter_n000.yaml,clutter,0.0,rrt,7,18,1,0.1552,0.1554,410.0,42,93,19,
clutter_n000.yaml,clutter,0.0,rrt,7,19,1,0.0433,0.0434,316.745,33,33,9,
clutter_n000.yaml,clutter,0.0,rrt,7,20,1,0.065,0.0652,399.25,41,42,2,
clutter_n000.yaml,clutter,0.0,rrt,7,21,1,0.1317,0.132,534.999,55,79,20,
clutter_n000.yaml,clutter,0.0,rrt,7,22,1,0.0587,0.0589,344.552,36,37,7,
clutter_n000.yaml,clutter,0.0,rrt,7,23,1,0.0913,0.0916,383.812,40,56,6,
