env,family,param,planner,K,runs,successes,success_rate,sr_lo,sr_hi,time_mean,time_lo,time_hi,len_mean,len_lo,len_hi,nodes_mean,nodes_lo,nodes_hi
clutter_n000.yaml,clutter,0.0,rrt,5,30,30,1.0,0.8865,1.0,0.1262,0.0903,0.1621,340.987,315.092,366.882,60.6,44.6,76.7
clutter_n000.yaml,clutter,0.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.0762,0.0679,0.0844,255.602,253.959,257.246,28.4,28.0,28.8
clutter_n005.yaml,clutter,5.0,rrt,5,30,30,1.0,0.8865,1.0,0.2382,0.1855,0.291,377.459,354.667,400.252,58.2,46.0,70.4
clutter_n005.yaml,clutter,5.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.2731,0.2345,0.3118,409.882,394.459,425.305,62.8,55.6,69.9
clutter_n010.yaml,clutter,10.0,rrt,5,30,26,0.8667,0.7032,0.9469,3.767,2.1284,5.4057,469.92,416.439,523.4,846.3,492.2,1200.4
clutter_n010.yaml,clutter,10.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.2331,0.1849,0.2813,379.212,352.096,406.328,62.2,51.8,72.6
clutter_n020.yaml,clutter,20.0,rrt,5,30,27,0.9,0.7438,0.9654,4.8029,2.7943,6.8115,514.458,450.408,578.507,1049.6,620.5,1478.7
clutter_n020.yaml,clutter,20.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.3033,0.2465,0.3601,439.691,417.109,462.274,73.5,63.7,83.4
clutter_n030.yaml,clutter,30.0,rrt,5,30,30,1.0,0.8865,1.0,0.3174,0.1846,0.4502,354.807,321.268,388.346,77.5,48.9,106.1
clutter_n030.yaml,clutter,30.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.0809,0.0752,0.0865,255.898,253.915,257.882,28.4,28.0,28.8
clutter_n040.yaml,clutter,40.0,rrt,5,30,30,1.0,0.8865,1.0,2.0326,1.1493,2.916,593.054,537.153,648.956,408.8,227.7,590.0
clutter_n040.yaml,clutter,40.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.7226,0.599,0.8462,607.036,578.164,635.909,150.4,127.7,173.1
passage_w010.yaml,passage,10.0,rrt,5,30,4,0.1333,0.0531,0.2968,15.1909,6.5353,23.8465,1033.256,781.068,1285.445,5035.8,2098.4,7973.1
passage_w010.yaml,passage,10.0,rrt-connect,5,30,26,0.8667,0.7032,0.9469,5.6338,3.5961,7.6715,782.606,732.468,832.743,1386.1,924.6,1847.6
passage_w015.yaml,passage,15.0,rrt,5,30,11,0.3667,0.2187,0.5449,10.3851,7.2196,13.5506,802.239,742.729,861.748,2022.3,1317.3,2727.2
passage_w015.yaml,passage,15.0,rrt-connect,5,30,30,1.0,0.8865,1.0,1.121,0.6521,1.5898,619.882,590.39,649.375,222.2,134.9,309.6
passage_w020.yaml,passage,20.0,rrt,5,30,24,0.8,0.6269,0.9049,6.4154,4.5436,8.2872,826.667,761.13,892.204,2587.7,1960.1,3215.4
passage_w020.yaml,passage,20.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.2213,0.1625,0.28,558.255,539.561,576.949,137.4,102.3,172.6
passage_w030.yaml,passage,30.0,rrt,5,30,30,1.0,0.8865,1.0,3.9414,2.6314,5.2515,696.261,650.526,741.997,2182.9,1490.2,2875.6
passage_w030.yaml,passage,30.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.2016,0.1228,0.2804,508.424,494.832,522.015,125.7,78.6,172.8
passage_w040.yaml,passage,40.0,rrt,5,30,30,1.0,0.8865,1.0,2.7306,1.7876,3.6736,674.489,632.024,716.954,1585.5,1067.6,2103.4
passage_w040.yaml,passage,40.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.218,0.1273,0.3087,490.643,472.096,509.19,136.9,82.1,191.8
passage_w050.yaml,passage,50.0,rrt,5,30,30,1.0,0.8865,1.0,3.4699,1.9541,4.9857,634.519,587.358,681.68,1960.3,1140.0,2780.6
passage_w050.yaml,passage,50.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.2308,0.135,0.3265,469.13,438.672,499.587,148.2,88.9,207.5
passage_w060.yaml,passage,60.0,rrt,5,30,30,1.0,0.8865,1.0,3.1609,2.0174,4.3044,616.008,568.212,663.805,1850.2,1207.1,2493.3
passage_w060.yaml,passage,60.0,rrt-connect,5,30,30,1.0,0.8865,1.0,0.2416,0.1515,0.3317,455.827,432.797,478.856,155.0,99.6,210.5
