env,family,param,planner,K,seed,success,search_time,total_time,path_length,waypoints,nodes,iterations,error
clutter_n000.yaml,clutter,0.0,rrt,2,0,1,0.0399,0.0401,230.0,24,32,8,
clutter_n000.yaml,clutter,0.0,rrt,2,1,1,0.0213,0.0215,174.816,19,19,3,
clutter_n000.yaml,clutter,0.0,rrt,2,2,1,0.0203,0.0205,164.554,18,18,1,
clutter_n000.yaml,clutter,0.0,rrt,2,3,1,0.0195,0.0197,164.554,18,18,1,
clutter_n000.yaml,clutter,0.0,rrt,2,4,1,0.0661,0.0664,269.083,28,49,9,
clutter_n000.yaml,clutter,0.0,rrt,2,5,1,0.0195,0.0196,166.908,18,18,2,
clutter_n000.yaml,clutter,0.0,rrt,2,6,1,0.0341,0.0342,218.024,23,29,3,
clutter_n000.yaml,clutter,0.0,rrt,2,7,1,0.0349,0.035,214.802,23,29,6,
clutter_n000.yaml,clutter,0.0,rrt,2,8,1,0.0193,0.0194,164.554,18,18,1,
clutter_n000.yaml,clutter,0.0,rrt,2,9,1,0.023,0.0231,185.402,20,20,6,
clutter_n000.yaml,clutter,0.0,rrt,2,10,1,0.0215,0.0216,179.455,19,19,5,
clutter_n000.yaml,clutter,0.0,rrt,2,11,1,0.0384,0.0386,253.102,28,31,10,
clutter_n000.yaml,clutter,0.0,rrt,2,12,1,0.0778,0.0779,269.828,28,58,15,
clutter_n000.yaml,clutter,0.0,rrt,2,13,1,0.0191,0.0193,166.267,18,18,2,
clutter_n000.yaml,clutter,0.0,rrt,2,14,1,0.0771,0.0773,240.482,26,57,16,
clutter_n000.yaml,clutter,0.0,rrt,2,15,1,0.0363,0.0364,223.269,24,30,5,
clutter_n000.yaml,clutter,0.0,rrt,2,16,1,0.0247,0.0249,198.406,21,21,5,
clutter_n000.yaml,clutter,0.0,rrt,2,17,1,0.0371,0.0372,234.758,25,30,9,
clutter_n000.yaml,clutter,0.0,rrt,2,18,1,0.0254,0.0255,189.124,20,20,7,
clutter_n000.yaml,clutter,0.0,rrt,2,19,1,0.0207,0.0209,170.0,18,18,4,
clutter_n000.yaml,clutter,0.0,rrt,2,20,1,0.0288,0.0291,206.235,23,25,4,
clutter_n000.yaml,clutter,0.0,rrt,2,21,1,0.0229,0.0231,188.227,20,20,3,
clutter_n000.yaml,clutter,0.0,rrt,2,22,1,0.0216,0.0217,174.472,19,19,3,
clutter_n000.yaml,clutter,0.0,rrt,2,23,1,0.0211,0.0212,165.84,18,18,2,
clutter_n000.yaml,clutter,0.0,rrt,2,24,1,0.0333,0.0335,223.805,24,28,3,
clutter_n000.yaml,clutter,0.0,rrt,2,25,1,0.0505,0.0507,244.46,26,39,4,
clutter_n000.yaml,clutter,0.0,rrt,2,26,1,0.0205,0.0206,168.987,18,18,2,
clutter_n000.yaml,clutter,0.0,rrt,2,27,1,0.0211,0.0212,166.79,18,18,2,
clutter_n000.yaml,clutter,0.0,rrt,2,28,1,0.0736,0.0737,256.779,28,63,17,
clutter_n000.yaml,clutter,0.0,rrt,2,29,1,0.0195,0.0197,164.554,18,18,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,0,1,0.0208,0.021,167.673,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,1,1,0.0198,0.02,169.209,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,2,1,0.0205,0.0207,165.192,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,3,1,0.0205,0.0207,168.211,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,4,1,0.0199,0.02,166.571,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,5,1,0.0299,0.0301,166.908,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,6,1,0.0207,0.0208,166.9,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,7,1,0.019,0.0192,165.151,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,8,1,0.0201,0.0203,166.995,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,9,1,0.0204,0.0206,167.451,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,10,1,0.0203,0.0205,168.018,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,11,1,0.0193,0.0195,165.823,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,12,1,0.0199,0.0201,168.004,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,13,1,0.0192,0.0194,166.267,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,14,1,0.0198,0.02,167.665,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,15,1,0.0201,0.0202,167.514,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,16,1,0.0196,0.0198,170.378,19,20,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,17,1,0.0205,0.0207,167.546,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,18,1,0.0205,0.0207,166.318,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,19,1,0.0202,0.0203,167.014,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,20,1,0.0205,0.0207,168.852,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,21,1,0.0203,0.0204,165.03,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,22,1,0.0213,0.0214,169.194,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,23,1,0.0204,0.0206,165.84,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,24,1,0.0204,0.0206,167.346,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,25,1,0.0206,0.0208,173.436,19,20,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,26,1,0.0213,0.0214,168.987,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,27,1,0.0215,0.0217,166.79,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,28,1,0.0201,0.0203,167.869,18,19,1,
clutter_n000.yaml,clutter,0.0,rrt-connect,2,29,1,0.02,0.0201,168.236,18,19,1,
clutter_n005.yaml,clutter,5.0,rrt,2,0,1,0.0348,0.035,230.0,24,28,8,
clutter_n005.yaml,clutter,5.0,rrt,2,1,1,0.0396,0.0398,245.186,26,31,12,
clutter_n005.yaml,clutter,5.0,rrt,2,2,1,0.0622,0.0624,300.0,31,45,62,
clutter_n005.yaml,clutter,5.0,rrt,2,3,1,0.0462,0.0463,226.133,24,36,41,
clutter_n005.yaml,clutter,5.0,rrt,2,4,1,0.055,0.0551,251.848,26,42,9,
clutter_n005.yaml,clutter,5.0,rrt,2,5,1,0.0251,0.0253,194.045,21,21,17,
clutter_n005.yaml,clutter,5.0,rrt,2,6,1,0.0702,0.0704,293.814,31,49,57,
clutter_n005.yaml,clutter,5.0,rrt,2,7,1,0.0279,0.0281,205.589,22,22,12,
clutter_n005.yaml,clutter,5.0,rrt,2,8,1,0.0298,0.0299,210.0,22,24,20,
clutter_n005.yaml,clutter,5.0,rrt,2,9,1,0.0408,0.0409,210.0,22,32,21,
clutter_n005.yaml,clutter,5.0,rrt,2,10,1,0.0711,0.0713,337.206,35,50,41,
clutter_n005.yaml,clutter,5.0,rrt,2,11,1,0.0323,0.0325,205.491,22,24,15,
clutter_n005.yaml,clutter,5.0,rrt,2,12,1,0.0506,0.0507,268.511,28,38,35,
clutter_n005.yaml,clutter,5.0,rrt,2,13,1,0.0249,0.025,189.71,20,20,10,
clutter_n005.yaml,clutter,5.0,rrt,2,14,1,0.0583,0.0584,242.544,26,47,16,
clutter_n005.yaml,clutter,5.0,rrt,2,15,1,0.0336,0.0338,236.832,25,26,15,
clutter_n005.yaml,clutter,5.0,rrt,2,16,1,0.0256,0.0257,198.406,21,21,5,
clutter_n005.yaml,clutter,5.0,rrt,2,17,1,0.0262,0.0263,190.0,20,21,9,
clutter_n005.yaml,clutter,5.0,rrt,2,18,1,0.0505,0.0507,258.533,27,38,16,
clutter_n005.yaml,clutter,5.0,rrt,2,19,1,0.0481,0.0482,258.672,27,35,18,
clutter_n005.yaml,clutter,5.0,rrt,2,20,1,0.0389,0.0391,242.883,26,28,15,
clutter_n005.yaml,clutter,5.0,rrt,2,21,1,0.0407,0.0409,224.281,24,33,20,
clutter_n005.yaml,clutter,5.0,rrt,2,22,1,0.0539,0.0541,266.513,28,38,37,
clutter_n005.yaml,clutter,5.0,rrt,2,23,1,0.0699,0.0701,317.7,33,54,20,
clutter_n005.yaml,clutter,5.0,rrt,2,24,1,0.0546,0.0548,224.344,24,41,11,
clutter_n005.yaml,clutter,5.0,rrt,2,25,1,0.0379,0.0381,238.266,25,27,4,
clutter_n005.yaml,clutter,5.0,rrt,2,26,1,0.0461,0.0462,234.143,25,35,38,
clutter_n005.yaml,clutter,5.0,rrt,2,27,1,0.0503,0.0505,259.676,28,40,17,
clutter_n005.yaml,clutter,5.0,rrt,2,28,1,0.1051,0.1053,298.723,31,80,47,
clutter_n005.yaml,clutter,5.0,rrt,2,29,1,0.0392,0.0394,204.421,22,32,20,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,0,1,0.0471,0.0473,267.737,28,36,28,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,1,1,0.0311,0.0313,202.49,22,26,9,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,2,1,0.0484,0.0486,234.579,25,35,27,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,3,1,0.0278,0.0279,201.338,22,24,7,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,4,1,0.0394,0.0396,251.683,27,34,18,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,5,1,0.0264,0.0266,208.583,22,23,6,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,6,1,0.028,0.0282,176.15,19,20,2,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,7,1,0.0281,0.0283,204.382,22,23,6,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,8,1,0.034,0.0342,235.664,25,29,13,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,9,1,0.0315,0.0317,224.682,24,26,13,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,10,1,0.0404,0.0405,238.725,25,32,14,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,11,1,0.0468,0.047,240.266,26,37,30,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,12,1,0.0244,0.0246,178.998,19,22,2,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,13,1,0.0396,0.0398,237.454,25,32,10,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,14,1,0.0311,0.0313,207.77,22,23,6,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,15,1,0.0416,0.0418,222.111,24,30,15,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,16,1,0.039,0.0391,225.326,24,33,14,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,17,1,0.0269,0.0271,184.232,20,23,5,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,18,1,0.0427,0.0428,214.79,23,33,16,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,19,1,0.0334,0.0337,228.922,24,28,12,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,20,1,0.0255,0.0256,197.265,21,22,4,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,21,1,0.0449,0.045,243.03,26,33,27,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,22,1,0.0511,0.0513,279.979,29,37,26,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,23,1,0.0499,0.0501,271.599,29,39,26,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,24,1,0.0443,0.0445,238.413,25,35,23,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,25,1,0.0353,0.0354,233.928,25,29,11,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,26,1,0.0354,0.0356,244.702,26,30,12,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,27,1,0.0372,0.0374,230.981,25,32,14,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,28,1,0.0412,0.0413,242.763,26,33,16,
clutter_n005.yaml,clutter,5.0,rrt-connect,2,29,1,0.0358,0.0359,242.207,26,28,13,
clutter_n010.yaml,clutter,10.0,rrt,2,0,1,0.0908,0.091,293.055,31,67,47,
clutter_n010.yaml,clutter,10.0,rrt,2,1,1,0.4206,0.4208,258.3,28,298,236,
clutter_n010.yaml,clutter,10.0,rrt,2,2,1,0.0195,0.0196,164.554,18,18,1,
clutter_n010.yaml,clutter,10.0,rrt,2,3,1,0.0196,0.0197,164.554,18,18,1,
clutter_n010.yaml,clutter,10.0,rrt,2,4,1,0.2243,0.2245,288.164,30,149,139,
clutter_n010.yaml,clutter,10.0,rrt,2,5,1,0.0198,0.0199,166.908,18,18,2,
clutter_n010.yaml,clutter,10.0,rrt,2,6,1,0.1545,0.1547,376.145,39,110,83,
clutter_n010.yaml,clutter,10.0,rrt,2,7,1,0.0553,0.0555,267.208,29,44,26,
clutter_n010.yaml,clutter,10.0,rrt,2,8,1,0.0198,0.0199,164.554,18,18,1,
clutter_n010.yaml,clutter,10.0,rrt,2,9,1,0.0232,0.0233,185.402,20,20,6,
clutter_n010.yaml,clutter,10.0,rrt,2,10,1,0.0221,0.0222,179.455,19,19,5,
clutter_n010.yaml,clutter,10.0,rrt,2,11,1,0.1918,0.1919,259.029,28,126,87,
clutter_n010.yaml,clutter,10.0,rrt,2,12,1,0.0674,0.0675,220.0,23,44,35,
clutter_n010.yaml,clutter,10.0,rrt,2,13,1,0.0191,0.0192,166.267,18,18,2,
clutter_n010.yaml,clutter,10.0,rrt,2,14,1,0.0319,0.032,215.509,23,26,16,
clutter_n010.yaml,clutter,10.0,rrt,2,15,1,0.1645,0.1646,305.582,33,120,100,
clutter_n010.yaml,clutter,10.0,rrt,2,16,1,0.6693,0.6694,292.957,31,478,474,
clutter_n010.yaml,clutter,10.0,rrt,2,17,1,0.0816,0.0817,247.171,26,61,30,
clutter_n010.yaml,clutter,10.0,rrt,2,18,1,0.048,0.0482,284.941,30,36,16,
clutter_n010.yaml,clutter,10.0,rrt,2,19,1,0.0207,0.0208,170.0,18,18,4,
clutter_n010.yaml,clutter,10.0,rrt,2,20,1,0.1091,0.1092,255.834,28,78,58,
clutter_n010.yaml,clutter,10.0,rrt,2,21,1,0.0202,0.0203,166.574,18,18,3,
clutter_n010.yaml,clutter,10.0,rrt,2,22,1,0.0206,0.0207,174.472,19,19,3,
clutter_n010.yaml,clutter,10.0,rrt,2,23,1,0.0199,0.0201,165.84,18,18,2,
clutter_n010.yaml,clutter,10.0,rrt,2,24,1,0.0368,0.037,223.633,24,30,11,
clutter_n010.yaml,clutter,10.0,rrt,2,25,1,0.0454,0.0458,244.46,26,33,4,
clutter_n010.yaml,clutter,10.0,rrt,2,26,1,0.0227,0.0229,168.987,18,18,2,
clutter_n010.yaml,clutter,10.0,rrt,2,27,1,0.0216,0.0217,166.79,18,18,2,
clutter_n010.yaml,clutter,10.0,rrt,2,28,1,0.3051,0.3052,297.218,31,223,179,
clutter_n010.yaml,clutter,10.0,rrt,2,29,1,0.0192,0.0193,164.554,18,18,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,0,1,0.0206,0.0208,167.673,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,1,1,0.0208,0.021,169.209,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,2,1,0.02,0.0202,165.192,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,3,1,0.0202,0.0203,168.211,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,4,1,0.0205,0.0207,166.571,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,5,1,0.0195,0.0197,166.908,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,6,1,0.021,0.0212,166.9,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,7,1,0.0195,0.0197,165.151,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,8,1,0.0209,0.021,166.995,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,9,1,0.0209,0.021,167.451,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,10,1,0.0201,0.0202,168.018,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,11,1,0.0193,0.0195,165.823,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,12,1,0.0207,0.0209,168.004,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,13,1,0.0208,0.0209,166.267,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,14,1,0.02,0.0202,167.665,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,15,1,0.0205,0.0207,167.514,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,16,1,0.0458,0.0459,197.205,21,35,14,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,17,1,0.0202,0.0204,167.546,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,18,1,0.0212,0.0213,166.318,18,19,1,
clutter_n010.yaml,clutter,10.0,rrt-connect,2,19,1,0.0248,0.0249,167.014,18,19,1,
