env,family,param,planner,K,runs,successes,success_rate,sr_lo,sr_hi,time_mean,time_lo,time_hi,len_mean,len_lo,len_hi,nodes_mean,nodes_lo,nodes_hi
clutter_n000.yaml,clutter,0.0,rrt,2,30,30,1.0,0.8865,1.0,0.033,0.0262,0.0397,201.251,187.98,214.522,27.3,22.3,32.2
clutter_n000.yaml,clutter,0.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.0206,0.0199,0.0213,167.546,166.914,168.178,19.1,19.0,19.2
clutter_n005.yaml,clutter,5.0,rrt,2,30,30,1.0,0.8865,1.0,0.0463,0.0397,0.0529,242.116,227.701,256.531,35.3,30.5,40.0
clutter_n005.yaml,clutter,5.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.037,0.034,0.0399,227.025,217.434,236.616,29.6,27.6,31.6
clutter_n010.yaml,clutter,10.0,rrt,2,30,30,1.0,0.8865,1.0,0.0995,0.0455,0.1535,223.271,201.193,245.349,72.6,34.6,110.6
clutter_n010.yaml,clutter,10.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.0222,0.0198,0.0246,170.758,165.542,175.974,20.0,18.6,21.3
clutter_n020.yaml,clutter,20.0,rrt,2,30,30,1.0,0.8865,1.0,0.5011,0.2465,0.7557,250.858,221.654,280.062,361.2,178.5,543.9
clutter_n020.yaml,clutter,20.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.0469,0.0397,0.0541,241.611,232.533,250.689,36.0,31.1,40.9
clutter_n030.yaml,clutter,30.0,rrt,2,30,30,1.0,0.8865,1.0,0.0505,0.0335,0.0675,212.302,193.963,230.641,38.3,26.4,50.1
clutter_n030.yaml,clutter,30.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.0205,0.0202,0.0207,167.546,166.914,168.178,19.1,19.0,19.2
clutter_n040.yaml,clutter,40.0,rrt,2,30,30,1.0,0.8865,1.0,0.1506,0.0836,0.2176,261.241,227.172,295.31,106.2,59.9,152.5
clutter_n040.yaml,clutter,40.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.0274,0.0215,0.0333,180.555,169.649,191.461,23.3,19.8,26.9
passage_w010.yaml,passage,10.0,rrt,2,30,30,1.0,0.8865,1.0,3.3908,2.4334,4.3482,502.708,476.361,529.055,2107.7,1522.4,2693.0
passage_w010.yaml,passage,10.0,rrt-connect,2,30,30,1.0,0.8865,1.0,1.0369,0.6537,1.4201,478.74,443.687,513.793,611.7,396.7,826.7
passage_w015.yaml,passage,15.0,rrt,2,30,30,1.0,0.8865,1.0,1.532,1.0719,1.992,460.817,421.312,500.322,980.6,695.6,1265.5
passage_w015.yaml,passage,15.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.3747,0.1544,0.595,402.507,372.712,432.301,233.1,105.6,360.5
passage_w020.yaml,passage,20.0,rrt,2,30,30,1.0,0.8865,1.0,0.9826,0.6524,1.3128,432.788,401.996,463.58,642.6,430.4,854.8
passage_w020.yaml,passage,20.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.1051,0.052,0.1583,347.35,320.612,374.088,72.6,41.3,103.9
passage_w030.yaml,passage,30.0,rrt,2,30,30,1.0,0.8865,1.0,0.4357,0.2848,0.5865,379.182,357.293,401.07,297.0,197.1,397.0
passage_w030.yaml,passage,30.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.0604,0.0533,0.0674,302.96,290.331,315.59,44.8,40.2,49.5
passage_w040.yaml,passage,40.0,rrt,2,30,30,1.0,0.8865,1.0,0.476,0.3292,0.6229,371.575,342.86,400.29,335.2,232.9,437.5
passage_w040.yaml,passage,40.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.0513,0.0471,0.0554,280.765,271.289,290.241,39.3,36.6,42.0
passage_w050.yaml,passage,50.0,rrt,2,30,30,1.0,0.8865,1.0,0.501,0.3084,0.6936,350.25,317.827,382.674,357.1,221.0,493.3
passage_w050.yaml,passage,50.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.0478,0.0441,0.0515,262.001,251.344,272.657,37.1,34.6,39.6
passage_w060.yaml,passage,60.0,rrt,2,30,30,1.0,0.8865,1.0,0.3567,0.2577,0.4557,326.144,297.764,354.525,254.9,184.6,325.2
passage_w060.yaml,passage,60.0,rrt-connect,2,30,30,1.0,0.8865,1.0,0.0423,0.0385,0.0462,235.997,228.182,243.811,33.4,30.7,36.0
